A000360,Lamar_Alexander,M,TN,S,R,2003,202-224-4944,http://www.alexander.senate.gov,http://www.alexander.senate.gov/public/index.cfm?p=Email,SenAlexander,89927603836
A000368,Kelly_Ayotte,F,NH,J,R,2011,202-224-3324,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,None,123436097729198
B000575,Roy_Blunt,M,MO,J,R,1997,202-224-5721,http://www.blunt.senate.gov,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,RoyBlunt,142473042477322
B000711,Barbara_Boxer,F,CA,J,D,1983,202-224-3553,http://www.boxer.senate.gov,https://www.boxer.senate.gov/contact/shareyourviews.html,SenatorBoxer,116513005087055
B000944,Sherrod_Brown,M,OH,S,D,1993,202-224-2315,http://www.brown.senate.gov,http://www.brown.senate.gov/contact,SenSherrodBrown,None
B001135,Richard_M._Burr,M,NC,S,R,1995,202-224-3154,http://www.burr.senate.gov,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,SenatorBurr,132653626787856
B001230,Tammy_Baldwin,F,WI,J,D,1999,202-224-5653,http://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,SenatorBaldwin,7357041101
B001236,John_Boozman,M,AR,S,R,2001,202-224-4843,http://www.boozman.senate.gov,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,JohnBoozman,7686715735
B001261,John_A._Barrasso,M,WY,J,R,2007,202-224-6441,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,SenJohnBarrasso,21146775942
B001267,Michael_F._Bennet,M,CO,S,D,2009,202-224-5852,http://www.bennet.senate.gov,http://www.bennet.senate.gov/contact/email,SenBennetCo,97172997732
B001277,Richard_Blumenthal,M,CT,S,D,2011,202-224-2823,http://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/contact/,SenBlumenthal,289987304364966
B001288,Cory_Anthony_Booker,M,NJ,J,D,2013,202-224-3224,http://www.booker.senate.gov,http://www.booker.senate.gov/?p=contact,SenBookerOfc,none
C000127,Maria_Cantwell,F,WA,J,D,1993,202-224-3441,http://www.cantwell.senate.gov,http://www.cantwell.senate.gov/public/index.cfm/email-maria,CantwellPress,None
C000141,Benjamin_L._Cardin,M,MD,J,D,1987,202-224-4524,http://www.cardin.senate.gov,http://www.cardin.senate.gov/contact/,SenatorCardin,120421834675191
C000174,Thomas_Richard_Carper,M,DE,S,D,1983,202-224-2441,http://www.carper.senate.gov,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,SenatorCarper,124891107521733
C000542,Daniel_Ray_Coats,M,IN,S,R,1981,202-224-5623,http://www.coats.senate.gov,http://www.coats.senate.gov/contact/,SenDanCoats,180671148633644
C000567,Thad_Cochran,M,MS,S,R,1973,202-224-5054,http://www.cochran.senate.gov,http://www.cochran.senate.gov/public/index.cfm/email-me,SenThadCochran,none
C000880,Michael_D._Crapo,M,ID,S,R,1993,202-224-6142,http://www.crapo.senate.gov,http://www.crapo.senate.gov/contact/email.cfm,MikeCrapo,80335332266
C001035,Susan_M._Collins,F,ME,S,R,1997,202-224-2523,http://www.collins.senate.gov,http://www.collins.senate.gov/public/index.cfm/email,SenatorCollins,7593313361
C001047,Shelley_Moore_Capito,F,WV,J,R,2001,202-224-6472,http://www.capito.senate.gov,None,RepShelley,8057864757
C001056,John_Cornyn,M,TX,S,R,2002,202-224-2934,http://www.cornyn.senate.gov,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,JohnCornyn,75755694423
C001070,Robert_P._Casey,M,PA,S,D,2007,202-224-6324,http://www.casey.senate.gov,http://www.casey.senate.gov/contact/,SenBobCasey,107749545944874
C001071,Bob_Corker,M,TN,J,R,2007,202-224-3344,http://www.corker.senate.gov,http://www.corker.senate.gov/public/index.cfm/emailme,SenBobCorker,109251415789533
C001075,Bill_Cassidy,M,LA,J,R,2009,202-224-5824,http://www.cassidy.senate.gov,None,None,None
C001088,Chris_Andrew_Coons,M,DE,J,D,2010,202-224-5042,http://www.coons.senate.gov,http://www.coons.senate.gov/contact/,SenCoonsOffice,254950754518205
C001095,Tom_Cotton,M,AR,J,R,2013,202-224-2353,http://www.cotton.senate.gov,None,SenTomCotton,120355701459307
C001098,Ted_Cruz,M,TX,J,R,2013,202-224-5922,http://www.cruz.senate.gov,http://www.cruz.senate.gov/?p=email_senator,SenTedCruz,315496455229328
D000563,Richard_J._Durbin,M,IL,S,D,1983,202-224-2152,http://www.durbin.senate.gov,http://www.durbin.senate.gov/public/index.cfm/contact,SenatorDurbin,180436795325335
D000607,Joe_Donnelly,M,IN,J,D,2007,202-224-4814,http://www.donnelly.senate.gov,http://www.donnelly.senate.gov/contact/email-joe,SenDonnelly,168059529893610
D000618,Steve_Daines,M,MT,J,R,2013,202-224-2651,http://www.daines.senate.gov,None,SteveDaines,185361254941832
E000285,Michael_B._Enzi,M,WY,S,R,1997,202-224-3424,http://www.enzi.senate.gov,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,SenatorEnzi,23068049436
E000295,Joni_Ernst,F,IA,J,R,2015,202-224-3254,http://www.ernst.senate.gov,None,SenJoniErnst,351671691660938
F000062,Dianne_Feinstein,F,CA,S,D,1992,202-224-3841,http://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,SenFeinstein,334887279867783
F000444,Jeff_Flake,M,AZ,J,R,2001,202-224-4521,http://www.flake.senate.gov,http://www.flake.senate.gov/contact.cfm,JeffFlake,senatorjeffflake
F000457,Alan_Stuart_Franken,M,MN,J,D,2009,202-224-5641,http://www.franken.senate.gov,http://www.franken.senate.gov/?p=email_al,None,None
F000463,Deb_Fischer,F,NE,S,R,2013,202-224-6551,http://www.fischer.senate.gov,http://www.fischer.senate.gov/public/?p=email-deb,SenatorFischer,531623656856934
G000359,Lindsey_O._Graham,M,SC,S,R,1995,202-224-5972,http://www.lgraham.senate.gov,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,GrahamBlog,257937783228
G000386,Charles_E._Grassley,M,IA,S,R,1975,202-224-3744,http://www.grassley.senate.gov,http://www.grassley.senate.gov/constituents/questions-and-comments,ChuckGrassley,106480645796
G000555,Kirsten_E._Gillibrand,F,NY,J,D,2007,202-224-4451,http://www.gillibrand.senate.gov,http://www.gillibrand.senate.gov/contact/,None,None
G000562,Cory_Gardner,M,CO,J,R,2011,202-224-5941,http://www.gardner.senate.gov,None,SenCoryGardner,160924893954206
H000338,Orrin_G._Hatch,M,UT,S,R,1977,202-224-5251,http://www.hatch.senate.gov,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,SenOrrinHatch,None
H001041,Dean_Heller,M,NV,J,R,2007,202-224-6244,http://www.heller.senate.gov,http://www.heller.senate.gov/public/index.cfm/contact-form,SenDeanHeller,325751330177
H001042,Mazie_K._Hirono,F,HI,J,D,2007,202-224-6361,http://www.hirono.senate.gov,http://www.hirono.senate.gov/contact/email,MazieHirono,None
