A000055,Robert_B._Aderholt,M,AL,4,R,1997,202-225-4876,http://aderholt.house.gov,http://aderholt.house.gov/email-me2/,Robert_Aderholt,19787529402
A000367,Justin_Amash,M,MI,3,R,2011,202-225-3831,http://amash.house.gov,https://amash.house.gov/contact-me/email-me,RepJustinAmash,173604349345646
A000369,Mark_E._Amodei,M,NV,2,R,2011,202-225-6155,http://amodei.house.gov,https://amodei.house.gov/contact-us,MarkAmodeiNV2,307227745970624
A000370,Alma_Adams,F,NC,12,D,2014,202-225-1510,http://adams.house.gov,http://adams.house.gov/contact,RepAdams,none
A000371,Pete_Aguilar,M,CA,31,D,2015,202-225-3201,https://aguilar.house.gov,None,reppeteaguilar,none
A000372,Rick_Allen,M,GA,12,R,2015,202-225-2823,https://allen.house.gov,None,reprickallen,none
A000373,Brad_Ashford,M,NE,2,D,2015,202-225-4155,https://ashford.house.gov,None,RepBradAshford,none
A000374,Ralph_Abraham,M,LA,5,R,2015,202-225-8490,https://abraham.house.gov,None,RepAbraham,none
B000213,Joe_Linus_Barton,M,TX,6,R,1985,202-225-2002,http://joebarton.house.gov,https://joebarton.house.gov/contact1/,RepJoeBarton,15617630596
B000287,Xavier_Becerra,M,CA,34,D,1993,202-225-6235,http://becerra.house.gov,http://becerraforms.house.gov/forms/writeyourrep/,RepBecerra,90311772229
B000490,Sanford_D._Bishop,M,GA,2,D,1993,202-225-3631,http://bishop.house.gov,http://bishop.house.gov/contact,SanfordBishop,366739521606
B000574,Earl_Blumenauer,M,OR,3,D,1996,202-225-4811,http://blumenauer.house.gov,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,BlumenauerMedia,None
B000589,John_A._Boehner,M,OH,8,R,1991,202-225-6205,http://johnboehner.house.gov,http://boehner.house.gov/contact/,SpeakerBoehner,175082565865743
B000755,Kevin_P._Brady,M,TX,8,R,1997,202-225-4901,http://kevinbrady.house.gov,https://kevinbrady.house.gov/contact-form,RepKevinBrady,9307301412
B000911,Corrine_Brown,F,FL,5,D,1993,202-225-0123,http://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,RepCorrineBrown,179120958813519
B001227,Robert_Alan_Brady,M,PA,1,D,1998,202-225-4731,http://brady.house.gov,https://brady.house.gov/contact-me/email-me,RepBrady,118845109487
B001243,Marsha_W._Blackburn,F,TN,7,R,2003,202-225-2811,http://blackburn.house.gov,https://blackburn.house.gov/contactform/email.htm,MarshaBlackburn,6470828395
B001248,Michael_C._Burgess,M,TX,26,R,2003,202-225-7772,http://burgess.house.gov,http://burgess.house.gov/contact/356345.htm,MichaelCBurgess,6916472567
B001250,Rob_Bishop,M,UT,1,R,2003,202-225-0453,http://robbishop.house.gov,https://robbishop.house.gov/contact/contactform.htm,RepRobBishop,RepRobBishop
B001251,George_Kenneth_Butterfield,M,NC,1,D,2004,202-225-3101,http://butterfield.house.gov,https://butterfield.house.gov/email-congressman-butterfield,GKButterfield,274687979233940
B001255,Charles_W._Boustany,M,LA,3,R,2005,202-225-2031,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,RepBoustany,197407646951718
B001257,Gus_M._Bilirakis,M,FL,12,R,2007,202-225-5755,http://bilirakis.house.gov,https://bilirakis.house.gov/email-congressman-bilirakis/,RepGusBilirakis,135445766485586
B001260,Vern_Buchanan,M,FL,16,R,2007,202-225-5015,http://buchanan.house.gov,https://buchanan.house.gov/email-me,VernBuchanan,67106719910
