True,D,F,NC,North Carolina,12,H,1946-05-27,2014,A000370,N00035451,H4NC12100,Adams_Alma_None_None_None,202-225-1510,http://adams.house.gov,http://adams.house.gov/contact,RepAdams,None,CongresswomanAdams
True,R,M,AL,Alabama,4,H,1965-07-22,1997,A000055,N00003028,H6AL04098,Aderholt_Robert_B._None_None,202-225-4876,https://aderholt.house.gov,http://aderholt.house.gov/email-me2/,Robert_Aderholt,RobertAderholt,19787529402
True,R,M,MI,Michigan,3,H,1980-04-18,2011,A000367,N00031938,H0MI03126,Amash_Justin_None_None_None,202-225-3831,http://amash.house.gov,https://amash.house.gov/contact-me/email-me,None,repjustinamash,173604349345646
True,R,M,NV,Nevada,2,H,1958-06-12,2011,A000369,N00031177,H2NV02395_H1NV02017_S0NV00237,Amodei_Mark_E._None_None,202-225-6155,http://amodei.house.gov,https://amodei.house.gov/contact-us,MarkAmodeiNV2,markamodeinv2,307227745970624
False,R,F,MN,Minnesota,6,H,1956-04-06,2007,B001256,N00027493,H6MN06074_P20002978,Bachmann_Michele_Marie_None_None,202-225-2331,http://bachmann.house.gov,https://bachmann.house.gov/contact/email-michele,MicheleBachmann,RepMicheleBachmann,7658849357
False,R,M,AL,Alabama,6,H,1947-12-28,1993,B000013,N00008091,H2AL06035,Bachus_Spencer_Thomas_III_None,202-225-4921,http://bachus.house.gov,https://bachus.house.gov/email-me,BachusAL06,congressmanbachus,6769692966
False,D,M,AZ,Arizona,2,H,1945-08-25,2012,B001279,N00033981,H2AZ08094,Barber_Ron_None_None_None,202-225-2542,http://barber.house.gov,https://barber.house.gov/contact/email-me,RepRonBarber,RepRonBarber,244907165625305
True,R,M,PA,Pennsylvania,11,H,1956-01-28,2011,B001269,N00025495,H2PA11098,Barletta_Lou_None_None_None,202-225-6511,http://barletta.house.gov,https://barletta.house.gov/contact/email-me,RepLouBarletta,reploubarletta,192357174108435
True,R,M,KY,Kentucky,6,H,1973-07-24,2013,B001282,N00031233,H0KY06104,Barr_Garland_None_None_Andy,202-225-4706,https://barr.house.gov,https://barr.house.gov/contact/email-me,RepAndyBarr,RepAndyBarr,457461137635018
False,D,M,GA,Georgia,12,H,1955-10-31,2005,B001252,N00026080,H4GA12010,Barrow_John_None_None_None,202-225-2823,http://barrow.house.gov,http://barrowforms.house.gov/contact/,RepJohnBarrow,RepJohnBarrow,285483767395
True,R,M,TX,Texas,6,H,1949-09-15,1985,B000213,N00005656,H4TX06117_S4TX00094,Barton_Joe_Linus_None_None,202-225-2002,http://joebarton.house.gov,https://joebarton.house.gov/contact1/,RepJoeBarton,repjoebarton,15617630596
True,D,F,CA,California,37,H,1953-10-03,2011,B001270,N00031877,H0CA33117,Bass_Karen_None_None_None,202-225-7084,http://bass.house.gov,https://bass.house.gov/contact-me/email-me,RepKarenBass,RepKarenBass,190867440939405
